"","Index","FlowMetric","ModifiedClass","Quantile","NumberSitesPerClass"
"139","csci","10-year flood magnitude","Soft Bottom (two hard sides)",0.5,29
"140","csci","10-year flood magnitude","Soft Bottom (two hard sides)",0.9,29
"141","csci","2-year flood magnitude","Hard Bottom",0.5,39
"142","csci","2-year flood magnitude","Hard Bottom",0.9,39
"143","csci","2-year flood magnitude","Natural",0.5,179
"144","csci","2-year flood magnitude","Natural",0.9,179
"145","csci","2-year flood magnitude","Overall 10th",0.5,343
"146","csci","2-year flood magnitude","Overall 10th",0.9,343
"147","csci","2-year flood magnitude","Overall 1st",0.5,343
"148","csci","2-year flood magnitude","Overall 1st",0.9,343
"149","csci","2-year flood magnitude","Overall 30th",0.5,343
"150","csci","2-year flood magnitude","Overall 30th",0.9,343
"151","csci","2-year flood magnitude","Soft Bottom (no hard sides)",0.5,6
"152","csci","2-year flood magnitude","Soft Bottom (no hard sides)",0.9,6
"153","csci","2-year flood magnitude","Soft Bottom (two hard sides)",0.5,29
"154","csci","2-year flood magnitude","Soft Bottom (two hard sides)",0.9,29
"155","csci","5-year flood magnitude","Hard Bottom",0.5,39
"156","csci","5-year flood magnitude","Hard Bottom",0.9,39
"157","csci","5-year flood magnitude","Natural",0.5,179
"158","csci","5-year flood magnitude","Natural",0.9,179
"159","csci","5-year flood magnitude","Overall 10th",0.5,343
"160","csci","5-year flood magnitude","Overall 10th",0.9,343
"161","csci","5-year flood magnitude","Overall 1st",0.5,343
"162","csci","5-year flood magnitude","Overall 1st",0.9,343
"163","csci","5-year flood magnitude","Overall 30th",0.5,343
"164","csci","5-year flood magnitude","Overall 30th",0.9,343
"165","csci","5-year flood magnitude","Soft Bottom (no hard sides)",0.5,6
"166","csci","5-year flood magnitude","Soft Bottom (no hard sides)",0.9,6
"167","csci","5-year flood magnitude","Soft Bottom (two hard sides)",0.5,29
"168","csci","5-year flood magnitude","Soft Bottom (two hard sides)",0.9,29
"169","csci","Dry-season median baseflow","Hard Bottom",0.5,39
"170","csci","Dry-season median baseflow","Hard Bottom",0.9,39
"171","csci","Dry-season median baseflow","Natural",0.5,179
"172","csci","Dry-season median baseflow","Natural",0.9,179
"173","csci","Dry-season median baseflow","Overall 10th",0.5,343
"174","csci","Dry-season median baseflow","Overall 10th",0.9,343
"175","csci","Dry-season median baseflow","Overall 1st",0.5,343
"176","csci","Dry-season median baseflow","Overall 1st",0.9,343
"177","csci","Dry-season median baseflow","Overall 30th",0.5,343
"178","csci","Dry-season median baseflow","Overall 30th",0.9,343
"179","csci","Dry-season median baseflow","Soft Bottom (no hard sides)",0.5,6
"180","csci","Dry-season median baseflow","Soft Bottom (no hard sides)",0.9,6
"181","csci","Dry-season median baseflow","Soft Bottom (two hard sides)",0.5,29
"182","csci","Dry-season median baseflow","Soft Bottom (two hard sides)",0.9,29
"183","csci","Fall pulse magnitude","Hard Bottom",0.5,39
"184","csci","Fall pulse magnitude","Hard Bottom",0.9,39
"185","csci","Fall pulse magnitude","Natural",0.5,179
"186","csci","Fall pulse magnitude","Natural",0.9,179
"187","csci","Fall pulse magnitude","Overall 10th",0.5,343
"188","csci","Fall pulse magnitude","Overall 10th",0.9,343
"189","csci","Fall pulse magnitude","Overall 1st",0.5,343
"190","csci","Fall pulse magnitude","Overall 1st",0.9,343
"191","csci","Fall pulse magnitude","Overall 30th",0.5,343
"192","csci","Fall pulse magnitude","Overall 30th",0.9,343
"193","csci","Fall pulse magnitude","Soft Bottom (no hard sides)",0.5,6
"194","csci","Fall pulse magnitude","Soft Bottom (no hard sides)",0.9,6
"195","csci","Fall pulse magnitude","Soft Bottom (two hard sides)",0.5,29
"196","csci","Fall pulse magnitude","Soft Bottom (two hard sides)",0.9,29
"197","csci","Magnitude of largest annual storm","Hard Bottom",0.5,39
"198","csci","Magnitude of largest annual storm","Hard Bottom",0.9,39
"199","csci","Magnitude of largest annual storm","Natural",0.5,179
"200","csci","Magnitude of largest annual storm","Natural",0.9,179
"201","csci","Magnitude of largest annual storm","Overall 10th",0.5,343
"202","csci","Magnitude of largest annual storm","Overall 10th",0.9,343
"203","csci","Magnitude of largest annual storm","Overall 1st",0.5,343
"204","csci","Magnitude of largest annual storm","Overall 1st",0.9,343
"205","csci","Magnitude of largest annual storm","Overall 30th",0.5,343
"206","csci","Magnitude of largest annual storm","Overall 30th",0.9,343
"207","csci","Magnitude of largest annual storm","Soft Bottom (no hard sides)",0.5,6
"208","csci","Magnitude of largest annual storm","Soft Bottom (no hard sides)",0.9,6
"209","csci","Magnitude of largest annual storm","Soft Bottom (two hard sides)",0.5,29
"210","csci","Magnitude of largest annual storm","Soft Bottom (two hard sides)",0.9,29
"211","csci","Spring recession magnitude","Hard Bottom",0.5,39
"212","csci","Spring recession magnitude","Hard Bottom",0.9,39
"213","csci","Spring recession magnitude","Natural",0.5,179
"214","csci","Spring recession magnitude","Natural",0.9,179
"215","csci","Spring recession magnitude","Overall 10th",0.5,343
"216","csci","Spring recession magnitude","Overall 10th",0.9,343
"217","csci","Spring recession magnitude","Overall 1st",0.5,343
"218","csci","Spring recession magnitude","Overall 1st",0.9,343
"219","csci","Spring recession magnitude","Overall 30th",0.5,343
"220","csci","Spring recession magnitude","Overall 30th",0.9,343
"221","csci","Spring recession magnitude","Soft Bottom (no hard sides)",0.5,6
"222","csci","Spring recession magnitude","Soft Bottom (no hard sides)",0.9,6
"223","csci","Spring recession magnitude","Soft Bottom (two hard sides)",0.5,29
"224","csci","Spring recession magnitude","Soft Bottom (two hard sides)",0.9,29
"225","csci","Wet-season low baseflow","Hard Bottom",0.5,39
