"","metric","ThresholdNAT_Lower","ThresholdNAT_Upper","ThresholdNATMed_Lower","ThresholdNATMed_Upper","ThresholdNATLow_Lower","ThresholdNATLow_Upper","ThresholdNATHigh_Lower","ThresholdNATHigh_Upper","ThresholdHB_Lower","ThresholdHB_Upper","ThresholdSB0_Lower","ThresholdSB0_Upper","ThresholdSB2_Lower","ThresholdSB2_Upper","n","Index","Hydro_endpoint","SmoothingFunc","CorObs_Pred"
"60","csci_Peak_10_12",-607.965322180991,NA,-607.965322180991,NA,-10920.8441064941,-5702.23552190265,1250.2469272357,NA,-9389.93025535084,-6039.57386353551,-643.759031838817,NA,-743.948450629653,NA,402,"csci","Peak_10",12,0.557111268685239
"61","asci_Peak_2_12",554.660618806219,1058.65225180981,554.660618806219,1058.65225180981,-177.664438934086,11.6822166822497,761.13407482852,976.967351666003,575.259832005215,1048.44163929183,-152.953594201516,-15.4347057809002,-172.158561145849,5.02250608858682,223,"asci","Peak_2",12,0.546503051152436
"62","csci_Peak_2_12",-231.120930669762,42.7081227553777,-231.120930669762,42.7081227553777,-7528.03147724347,-3297.31948513072,-88.9860823238403,-61.9088039797836,-6181.51706229315,-4210.12204844833,-239.234662259114,48.8864090809547,-263.909716538856,68.2194855970798,402,"csci","Peak_2",12,0.523882521517554
"63","asci_Peak_5_12",3324.95370866925,NA,3324.95370866925,NA,-309.068967314143,1718.1354786335,3690.03512022744,NA,3370.58888511402,NA,455.687028670289,1390.82304463594,-260.432254397563,-60.8979392639431,223,"asci","Peak_5",12,0.380660546855166
"64","csci_Peak_5_12",-18068.3388129311,-16110.0209571845,-18068.3388129311,-16110.0209571845,-18421.0336847094,-9691.37213556331,830.208767557357,NA,-18326.9355480933,-10294.3297184251,-18087.434538762,-15625.3800206213,-18144.7217162546,-14171.4572109314,402,"csci","Peak_5",12,0.478797231736341
"65","asci_SP_Mag_12",1428.0891951824,NA,1428.0891951824,NA,-122.46651159258,-54.0492026192586,1549.6111285295,NA,1443.27943685079,NA,30.3815966413352,96.1939641156154,-117.143779346367,-60.9290012866025,223,"asci","SP_Mag",12,0.481648366534735
"66","csci_SP_Mag_12",-41.9635080029018,182.005698367598,-41.9635080029018,182.005698367598,-951.80570369436,-704.082248395528,44.437930684053,51.2639144252123,-929.577033059169,-777.146946494365,-50.0101041584021,186.83925862409,-66.9171400873634,199.063776437638,402,"csci","SP_Mag",12,0.517104111328465
"67","asci_Wet_BFL_Mag_10_12",NA,NA,NA,NA,-13.992040319647,-1.1097951240011,NA,NA,NA,NA,-10.1462586829644,-2.9600209202221,-13.0305949104764,-1.72594622606688,223,"asci","Wet_BFL_Mag_10",12,0.303374370903624
"68","csci_Wet_BFL_Mag_10_12",-13.6256402514223,8.07119536652938,-13.6256402514223,8.07119536652938,-84.707774007542,-67.6833356468425,-8.89656223136862,-4.67399716780456,-83.6849985828516,-73.3230369739029,-13.9800151652327,8.54940863617532,-14.8331885592923,9.66129933593029,402,"csci","Wet_BFL_Mag_10",12,0.478691719097461
"69","asci_Wet_BFL_Mag_50_12",-53.416057299401,-49.4065493844278,-53.416057299401,-49.4065493844278,-120.349262669774,-37.8441460563652,105.131302946865,151.570701929977,96.2777886723127,165.146296084592,-96.0099152623654,-45.6466393276828,-114.264425817922,-44.0052439208098,223,"asci","Wet_BFL_Mag_50",12,0.377243329968765
